Developer Name, Repository Name, Number of Stars
landing-ai , vision-agent, 557
hpcaitech , Open-Sora, 18,204
danny-avila , LibreChat, 12,992
rustdesk , rustdesk, 66,453
amplication , amplication, 13,961
open-metadata , OpenMetadata, 4,506
pocketbase , pocketbase, 35,218
zed-industries , zed, 38,270
baptisteArno , typebot.io, 5,407
argilla-io , argilla, 3,259
bleedline , aimoneyhunter, 9,995
ollama , ollama, 74,318
langflow-ai , langflow, 19,077
lobehub , lobe-chat, 32,872
practical-tutorials , project-based-learning, 177,722
omnivore-app , omnivore, 9,899
yangshun , tech-interview-handbook, 113,255
tencentmusic , supersonic, 796
serverless , serverless, 46,177
